,hangul_word,hangeul_english_translation,does_end_in_hada,hangul_word_wo_hada,is_good_translation,hanja_english_pairs
0, 들,plural marker,False, 들,False,[]
1,가게,store / shop,False,가게,False,[]
2,가다,to go,False,가다,False,[]
3,가르치다,to teach,False,가르치다,False,[]
4,가방,bag,False,가방,False,"[('街坊', 'neighborhood')]"
5,가족,family,False,가족,True,"[('家族', 'family')]"
6,간호사,nurse,False,간호사,True,"[('看護師', 'nurse')]"
7,갈색,brown,False,갈색,False,"[('褐色', 'brownish')]"
8,갈아타다,to transfer,False,갈아타다,False,[]
9,감기,cold,False,감기,False,"[('感氣', 'be moved by')]"
10,같이,together,False,같이,False,[]
11,개,counting unit for general items,False,개,False,[]
12,걱정,worry / concern,False,걱정,False,[]
13,건강,health,False,건강,True,"[('健康', 'health')]"
14,걷다,to walk,False,걷다,False,[]
15,걸리다,to take (time),False,걸리다,False,[]
16,결혼,marriage,False,결혼,False,"[('結婚', 'get married')]"
17,결혼하다,to marry,True,결혼,False,"[('結婚', 'get married')]"
18,계시다,to be/to stay (honorific),False,계시다,False,[]
19,고기,meat,False,고기,False,[]
20,고등학생,high school student,False,고등학생,True,"[('高等學生', 'a college student')]"
21,고민,agony / worry,False,고민,False,"[('苦悶', 'anguish')]"
22,공,zero,False,공,False,[]
23,공부,study / learning,False,공부,False,"[('工夫', 'effort'), ('貢賦', 'gift')]"
24,공부하다,to study,True,공부,False,"[('工夫', 'effort'), ('貢賦', 'gift')]"
25,공원,park,False,공원,True,"[('公園', 'park')]"
26,공책,notebook,False,공책,False,"[('空冊', 'an empty book')]"
27,공항,airport,False,공항,False,"[('空港', 'an air port')]"
28,과일,fruit,False,과일,False,[]
29,괜찮다,alright,False,괜찮다,False,[]
30,교실,classroom,False,교실,True,"[('敎室', 'classroom')]"
31,구,nine,False,구,True,"[('九', 'nine'), ('玖', 'nine'), ('耉', 'nine')]"
32,구두,dress shoes,False,구두,False,"[('口頭', 'a word of mouth')]"
33,구월,September,False,구월,True,"[('九月', 'September')]"
34,국적,nationality,False,국적,True,"[('國籍', 'nationality')]"
35,귀,ear,False,귀,False,[]
36,그,that,False,그,False,[]
37,그거,that (one),False,그거,False,[]
38,그래서,so,False,그래서,False,[]
39,그런데,but/ by the way,False,그런데,False,[]
40,그럼,then / in that case,False,그럼,False,[]
41,그렇지만,but,False,그렇지만,False,[]
42,그리고,and,False,그리고,False,[]
43,그리다,to draw to paint,False,그리다,False,[]
44,그림,picture / drawing,False,그림,False,[]
45,그분,that person (honorific),False,그분,False,[]
46,극장,movie theater,False,극장,True,"[('劇場', 'theater')]"
47,금요일,Friday,False,금요일,False,"[('金曜日', 'a golden day')]"
48,기다리다,to wait,False,기다리다,False,[]
49,기분,feeling,False,기분,False,"[('氣分', 'air')]"
50,기숙사,dormitory,False,기숙사,False,"[('寄宿舍', 'boarding house')]"
51,기자,reporter,False,기자,False,"[('記者', 'a journalist')]"
52,기차,train,False,기차,False,"[('汽車', 'an automobile')]"
53,기차표,train ticket,False,기차표,False,[]
54,기침,cough,False,기침,False,[]
55,기타,guitar,False,기타,False,"[('其他', 'Other')]"
56,길,road / way,False,길,False,[]
57,길다,long,False,길다,False,[]
58,김밥,gimbap,False,김밥,False,[]
59,김치,kimchi,False,김치,False,[]
60,까만색,black,False,까만색,False,[]
61,깎다,to discount,False,깎다,False,[]
62,꽃,flower,False,꽃,False,[]
