Unnamed: 0,hanja_subsequence,english_translation
0,初,at first time
1,生鮮膾,raw and fresh meat and vegetable dish
2,冊,book
3,秋,autumn
4,獨,alone
5,冊床,a bookmaking
6,金,gold
7,火,fire
8,萄,grape
9,寫,write
10,傘,umbrella
11,寄宿舍,boarding house
12,曜,burn
13,主,master
14,一月,January
15,中國,China
16,看,Look.
17,火曜日,obsidian day
18,鮮,fresh
19,表,watch
20,十一月,November
21,昨,yesterday
22,水曜,water observation
23,九月,September
24,機,machine
25,突房,an out-of a house
26,銀,silver
27,轉車,change trains
28,社員,a member
29,職員,staff
30,銀行員,banker
31,膾,popularity
32,携,carry
33,野菜,wild vegetables
34,發,emit
35,沙果,fruit of sand fruit
36,褐,brown
37,理,reason
38,堂,class
39,三月,March
40,病院,a hospital
41,淸,clear
42,結,conclude
43,中,hit the wind
44,鳴動,chime
45,自轉,spin
46,薇,wee
47,乳,milk
48,百貨,department store
49,臺,platform
50,放學,leave school
51,薔,rose
52,投票,cast one's ballot
53,劇場,theater
54,冷,cold
55,番號,designation
56,外,outside
57,鉛,lead
58,學校,school
59,院,yard
60,藏,hide
61,紅茶,black tea
62,轉,turn
63,地下,underground
64,社,company
65,動,move
66,場,yard
67,遞局,delivery department
68,床,bed
69,姓銜,title
70,韓,Korean
71,書,book
72,生鮮,fresh
73,行機,action
74,婚,get married
75,員,crew
76,本語,one's native language
77,百,hundred
78,寄宿,board
79,秋夕,autumn evening
80,圖,plan
81,者,person
82,家,home
83,漢拏山,Mt. Hanyeol Mountain
84,休,break
85,貨店,a shop
86,葉,leaf
87,市,market
88,男子,a man
89,務,do
90,只今,only now
91,包,bag
92,駐車,parking
93,冊房,a bookshop
94,間表,an interval table
95,樂,pleasant
96,紅,red
97,等,Wait.
98,門,door
99,新,fresh
100,辭,decline
101,紙匣,a paper box
102,女同生,a coed student
103,運動,exercise
104,旅行社,travel agency
105,木曜日,obsidian day
106,便,be convenience
107,州,a state
108,職業,occupation
109,美,pretty
110,所,circumstance
111,登,mount
112,室,chamber
113,仁川,"Incheon, Republic of"
114,飛行,fly
115,日曜,observation
116,木,wood
117,麥,wheat
118,硏究,study
119,用,use
120,大,big
121,鐵,iron
122,姓,family name
123,英國,the United Kingdom
124,住,Stay.
125,其,that
126,粧,make up
127,匣,box
128,宿題,a long-standing problem
129,其他,Other
130,土,earth
131,工夫,effort
132,濟州島,Jeju Island
133,暇,spare time
134,悶,stuffy
135,事務室,office
136,水曜日,obsidian day of water
137,時計,a time
138,藥局,pharmacy
139,溫突,warm
140,護,protect
141,化粧,make-up
142,駐車場,parking lot
143,拳道,kwondo; kwondo.
144,十月,October
145,眞,Really?
146,時間,time
147,窓,窓
148,計,plan
149,週末,weekend
150,電話番號,a telephone number
151,蹴,kick
152,等學,wait for a lesson
153,高等學,higher learning
154,韓服,hanbok
155,服,comply
156,粧室,dressing room
157,水,water
158,等學生,wait for a student
159,男,man
160,試驗,experiment
161,恒常,constantly
162,椅子,chair
163,綠色,green
164,四,four
165,運,carry
166,口頭,a word of mouth
167,四月,April
168,外國,foreign country
169,大學,university
170,山,mountain
171,飛,fly
172,藥,medicine
173,灰色,grayish
174,英,English
175,生日,birthday
176,點心,confection
177,國語,national language
178,日本,Japan
179,間,sometime
180,沙,sand
181,市廳,city hall
182,郵遞,mail delivery
183,銜,title
184,鮮膾,fresh meat
185,女同,a girl's
186,書館,a library
187,寄,send
188,話番號,the number of words
189,師,master
190,市場,market
