,hangeul_subseq,english_translation
0,정,Attachment
1,키,Height
2,콕,Poke
3,지우,Jiwoo
4,학교,School
5,던,Dunn
6,책방,Bookstore
7,커피숍,Coffee shop
8,구,District
9,의자,chair
10,숟가락,Spoon
11,런,Run
12,미있,It's meaningful
13,곤,gon
14,끝,The end
15,아이스크,Ice cubes
16,창,Window
17,청역,Cheong Station
18,걸,girl
19,스어,S
20,런던,London
21,레비전,Revisions
22,아이스크림,Ice cream
23,세탁,Washing
24,약,About
25,비행기,an airplane
26,건강,Health
27,한국어,Korean
28,야,Dude.
29,끄럽,I'm so embarrassed
30,데,"""De"
31,람,rams
32,방학,Vacation
33,읽,Read it
34,맞,Right
35,랑,with
36,운전,Driving
37,멋있,So cool
38,넘어지,I'll fall
39,오전,A.M.
40,혀,Tongue.
41,퓨,Pew
42,속,Inside
43,아내,Wife
44,불,Fire
45,교실,classroom
46,텔,Tell
47,루,R u
48,레이시,Lacey
49,메일,Mail
50,이메일,E-mail
51,엽,A lobe
52,라질,Lazil
53,호,issue
54,만색,all colors
55,거,Yes
56,유럽,Europe
57,여기,Here you go.
58,친구,Friend
59,오,Ooh.
60,간호사,Nurse
61,니,You
62,온돌,Ondol (Ondol)
63,브라,Bra
64,방콕,Bangkok
65,팔,Arm
66,자주,often
67,런데,But
68,악수,Handshake
69,가족,Family
70,생선회,Raw fish
71,베트남,Vietnam
72,프랑스어,French
73,기숙,boarding
74,영,zero
75,휴가,Vacation
76,아버지,father
77,특히,especially
78,항,clause
79,방,Room
80,색,Colors
81,형,Brother
82,시월,October
83,아까,right before
84,그런,Such
85,리드,Reed
86,한번,Once
87,노란,Yellow
88,별,Stars
89,투,Two
90,떤,a little bit
91,와주,Come here
92,선생,Teacher
93,장미,rose
94,매,Every
95,나나,Nana
96,요,yo
97,조,trillion
98,토요,Saturday
99,시,Poetry
100,달리,differently
101,어머니,Mother.
102,햄버거,hamburger
103,카,Car
104,카메,Cameras
105,언니,older sister
106,이렇게,So
107,렌,Len
108,눈,Eyes
109,인천공,Incheon International Airport
110,영어,English
111,뉴스,News
112,넘어,Over
113,장고,a long storehouse
114,적,Enemy
115,갈아,Grind it
116,랑스어,French
117,스크,Sc
118,회,Raw fish
119,바나,BANA
120,파리,Paris.
121,미국,the United States
122,렇지,Right?
123,네,All right.
124,간호,nursing care
125,요일,Day of the week
126,왜,Why
127,식당,a restaurant
128,울,Wool
129,만나,Let's meet
130,타,get in
131,셔,It's sour
132,트남,a double-crossed man
133,인천,Incheon
134,드리,DRY
135,그,that
